title,author,status,engagements,kudos,comments,hits,rating,words,chapters,status_date,additional_tags
<a href='https://archiveofourown.org/works/43300896'>i thought i told you to be quiet</a>,warrioravatrice,Completed,827,817,10,10429,Explicit,2042,1,2022-11-28,"Smut, Mild Sexual Content, Light Dom/sub, Praise Kink, Neck Kissing, Teasing, Top Beatrice, Bottom Ava, Bratty Bottom Ava, Post Season 2, They go back to the alps, Avatrice"
<a href='https://archiveofourown.org/works/43594434'>Reverence</a>,akira101,Completed,820,782,38,4738,Mature,4398,1,2022-12-13,"Post-Season/Series 02, Fix-It, And by fix-it i mean Netflix's fuck up, Lots of Touching"
"<a href='https://archiveofourown.org/works/44704105'>defy me, fortify me</a>",understreetlights,Completed,806,750,56,4294,Teen And Up Audiences,10325,1,2023-02-01,"Alternate Universe - Canon Divergence, 5+1 Things, Fluff, Hurt/Comfort, and we're back with another episode of: how did this become a five digit word count, giving characters who live in shoebox apartments bathtubs for plot purposes, maybe the real halo is the homoeroticism we perpetuated along the way"
<a href='https://archiveofourown.org/works/43227702'>soft as sin (and holy too)</a>,saintbot,Completed,795,733,62,5725,Teen And Up Audiences,3324,1,2022-11-23,"catholic crunch: oops! all blasphemy, with some internalized homophobia for flavor, an overabundance of religious allegory, blah blah the divine is love blah blah love is holy, but come on they're queer nuns! what am i supposed to do; NOT blaspheme before god??"
<a href='https://archiveofourown.org/works/44841943'>cradle me with grace</a>,the_ominous_owl,Completed,790,758,32,6133,Explicit,4688,1,2023-02-07,"sentient halo? sentient halo, technically a pwp cos there is plot but it is elsewhere, can be read as a standalone? i guess?, smut. just smut."
<a href='https://archiveofourown.org/works/43006395'>There are no next ones.</a>,ImAda,Completed,778,694,84,15612,Teen And Up Audiences,16009,8,2022-12-13,"Reunions, Eventual Happy Ending, Eventual Romance, Developing Relationship, Friends to Lovers, Angst with a Happy Ending, Religion, Denial of Feelings, Understanding, Headcanon"
<a href='https://archiveofourown.org/works/43141267'>Talking to Myself</a>,Wanderings_of_wonderings,Completed,778,741,37,9058,General Audiences,12340,6,2022-11-21,"Angst with a Happy Ending, Hurt No Comfort, Angst, Based on a song, I Wrote This Instead of Sleeping, I Made Myself Cry, Not Beta Read, To Be Edited, Bisexual Ava Silva, Soft Ava Silva, Gay Mess Ava Silva, Ava Silva Needs a Hug, Sad Ava Silva, Gay Mess Sister Beatrice (Warrior Nun), Sister Beatrice Needs a Hug (Warrior Nun), Sister Camila Ships It (Warrior Nun), Reya (Warrior Nun) plays a minor part, Mother Superion is a softie"
<a href='https://archiveofourown.org/works/44976043'>come to my garden (let the stars fill your eyes)</a>,littlepacketofchips,Completed,772,735,37,3392,Explicit,6097,1,2023-02-12,"ava is annoying, beatrice is either a good friend or a terrible one, lilith needs some help, Strap-Ons"
<a href='https://archiveofourown.org/works/43395513'>your language got me tongue tied (do you mind if we speak mine?)</a>,SJAandDWfan,Completed,769,747,22,3166,Teen And Up Audiences,4115,1,2022-12-03,"Canon Compliant until it's not, set mostly in that nebulous switzerland era we're all so fond of, they're soft your honour, mentions of religious guilt"
<a href='https://archiveofourown.org/works/43898007'>Night light</a>,takemetothemountains,Completed,755,727,28,11071,Explicit,7480,2,2022-12-29,"Roommates, Excellent roommate Beatrice, Masturbation, Smut, I'm sure Ava has a praise kink, Fluff and Smut, Praise Kink, Beatrice will take care of you, Sneaky library sex"
<a href='https://archiveofourown.org/works/43831840'>in my heart (is a christmas tree farm)</a>,badartndadjokes,Completed,755,735,20,3290,Mature,3798,1,2022-12-25,"Christmas fic, plot w a lil porn as a treat, Ava Silva has a Praise Kink, beatrice is gay and in love"
<a href='https://archiveofourown.org/works/43857135'>a night's adventure</a>,dek_out,Completed,752,742,10,5090,Explicit,5341,1,2022-12-26,"First Kiss, First Time, Horny Ava, Light Angst, Praise Kink, Smut, bye vows, Top Beatrice, Tags Are Hard, One Shot"
